date,county,quantile,hosp_census_with_covid,cases,icu,death,cum_death,prev_cum_est_deaths,total_cum_death
2022-03-27,California,0.5,1387,24832.5,277,154,10403,76700,87103
2022-03-27,California,0.05,1287,15730.95,247,123,9675.95,76700,86375.95
2022-03-27,California,0.95,1494,41699.34999999999,310,192,11147.05,76700,87847.05
2022-04-03,California,0.5,1154,22818.5,219,122.5,10527,76700,87227
2022-04-03,California,0.05,1065,14534.899999999998,193,96,9798.95,76700,86498.95
2022-04-03,California,0.95,1250,38126.49999999996,248,153,11272.05,76700,87972.05
2022-04-10,California,0.5,1014,22406,181,102,10628,76700,87328
2022-04-10,California,0.05,933,14502.95,158,79,9898.9,76700,86598.9
2022-04-10,California,0.95,1098.0499999999993,37618.05,205,128,11376,76700,88076
2022-04-17,California,0.5,951,23753.5,158,90,10716.5,76700,87416.5
2022-04-17,California,0.05,874,15558,137,69,9987,76700,86687
2022-04-17,California,0.95,1032,38361.59999999998,181,114,11466,76700,88166
2022-04-24,California,0.5,961,26911,149,84,10804,76700,87504
2022-04-24,California,0.05,883,17894,128,64,10069.949999999999,76700,86769.95
2022-04-24,California,0.95,1041,42564.05,170,107,11553.05,76700,88253.05
2022-05-01,California,0.5,1044,31865,151,85,10889,76700,87589
2022-05-01,California,0.05,962,21691.8,129,66,10156,76700,86856
2022-05-01,California,0.95,1130,49850.799999999974,173,108,11639,76700,88339
2022-05-08,California,0.5,1206,39476,164,93,10983,76700,87683
2022-05-08,California,0.05,1117,27170.7,142,72,10245.949999999999,76700,86945.95
2022-05-08,California,0.95,1299,61205.45,187,117,11736,76700,88436
2022-05-15,California,0.5,1452,49669.5,188,108,11093,76700,87793
2022-05-15,California,0.05,1351,34382.1,164,85,10354,76700,87054
2022-05-15,California,0.95,1556,76592.54999999996,213,134,11843,76700,88543
2022-05-22,California,0.5,1769,61851.5,222,129,11221,76700,87921
2022-05-22,California,0.05,1654,42855.9,195,102,10479,76700,87179
2022-05-22,California,0.95,1885,95057.54999999997,249,160,11978,76700,88678
2022-05-29,California,0.5,2106,71942,260,155,11378.5,76700,88078.5
2022-05-29,California,0.05,1978,49626.9,231,125,10632.9,76700,87332.9
2022-05-29,California,0.95,2236,112776.14999999998,290,192,12136,76700,88836
2022-06-05,California,0.5,2409,80833.5,295,183,11559,76700,88259
2022-06-05,California,0.05,2269,56084.9,264,147,10812.949999999999,76700,87512.95
2022-06-05,California,0.95,2553.0499999999993,126334.69999999997,328,224,12321,76700,89021
2022-06-12,California,0.5,2649,86521.5,324,205,11768,76700,88468
2022-06-12,California,0.05,2500,59212.95,291,167,11025,76700,87725
2022-06-12,California,0.95,2804,134202.49999999997,358,252,12529.099999999999,76700,89229.1
2022-06-19,California,0.5,2873,93099.5,347,225,11995,76700,88695
2022-06-19,California,0.05,2715,63205.85,313,181,11240,76700,87940
2022-06-19,California,0.95,3037,146681.64999999994,384,275,12753,76700,89453
2022-06-26,California,0.5,3175,105364,378,244,12240.5,76700,88940.5
2022-06-26,California,0.05,3004,70689.65,342,197,11480,76700,88180
2022-06-26,California,0.95,3352,168227,416,299,13002,76700,89702
2022-07-03,California,0.5,3570,119725,420,271,12513,76700,89213
2022-07-03,California,0.05,3377,79251.95,381,220,11751.949999999999,76700,88451.95
2022-07-03,California,0.95,3761.0499999999993,196423.35,460,335,13282.05,76700,89982.05
2022-07-10,California,0.5,4013,135663.5,470,307,12825,76700,89525
2022-07-10,California,0.05,3802,88687.90000000001,428,248,12051.949999999999,76700,88751.95
2022-07-10,California,0.95,4234,232521.7499999999,514,378,13599.05,76700,90299.05
2022-07-17,California,0.5,4364,143747.5,513,344,13166,76700,89866
2022-07-17,California,0.05,4136.95,91645.45,469,279,12392,76700,89092
2022-07-17,California,0.95,4591,241459.0999999999,558,428,13956,76700,90656
2022-07-24,California,0.5,4461,140121,532,367,13540.5,76700,90240.5
2022-07-24,California,0.05,4232,91722.1,486,295,12757.9,76700,89457.9
2022-07-24,California,0.95,4697,233817.8,579,458,14332,76700,91032
2022-07-31,California,0.5,4333,132399.5,521,370,13914,76700,90614
2022-07-31,California,0.05,4105,86209.79999999999,477,297,13115.95,76700,89815.95
2022-07-31,California,0.95,4570,216348.3499999999,568,457,14721,76700,91421
2022-08-07,California,0.5,4063,119811.5,493,356,14275,76700,90975
2022-08-07,California,0.05,3846,79205.65,450,285,13466.949999999999,76700,90166.95
2022-08-07,California,0.95,4286,198644.34999999992,538,443,15091.05,76700,91791.05
2022-08-14,California,0.5,3705,107647.5,452,332,14610,76700,91310
2022-08-14,California,0.05,3502,69660.95,410,266,13789,76700,90489
2022-08-14,California,0.95,3912,179519.84999999998,494,413,15433,76700,92133
2022-08-21,California,0.5,3331,95363,407,303,14913,76700,91613
2022-08-21,California,0.05,3150,61831.8,368,242,14091.95,76700,90791.95
2022-08-21,California,0.95,3525,160725.15,446,378,15749,76700,92449
2022-08-28,California,0.5,3000,85718,365,273,15188,76700,91888
2022-08-28,California,0.05,2831,55187.25,330,217,14361,76700,91061
2022-08-28,California,0.95,3182,147228.44999999998,403,342,16030,76700,92730
2022-09-04,California,0.5,2750,80170.5,334,246,15437,76700,92137
2022-09-04,California,0.05,2577,51312.2,299,195,14600,76700,91300
2022-09-04,California,0.95,2929,133785.59999999995,369,308,16279.099999999999,76700,92979.1
2022-09-11,California,0.5,2571.5,74627,310.5,228,15667,76700,92367
2022-09-11,California,0.05,2389,48991.75,276,179,14827.95,76700,91527.95
2022-09-11,California,0.95,2771,125771.05,347,286,16507,76700,93207
2022-09-18,California,0.5,2431,70754,294,213,15883,76700,92583
2022-09-18,California,0.05,2241,46639.8,260,167,15040,76700,91740
2022-09-18,California,0.95,2679,117818.54999999997,332,270,16722,76700,93422
2022-09-25,California,0.5,2327,68754,282,202,16086,76700,92786
2022-09-25,California,0.05,2113,44842.950000000004,246,157,15236.95,76700,91936.95
2022-09-25,California,0.95,2637,115829.15,324,259,16935.05,76700,93635.05
2022-10-02,California,0.5,2246,66616.5,273,193,16285.5,76700,92985.5
2022-10-02,California,0.05,2016,43414.74999999999,236,150,15421.85,76700,92121.85
2022-10-02,California,0.95,2613.0499999999993,112403.84999999999,318,255,17140.05,76700,93840.05
2022-10-09,California,0.5,2189,65151,267,187,16477,76700,93177
2022-10-09,California,0.05,1929.9499999999998,42550.899999999994,228,143,15609.900000000001,76700,92309.9
2022-10-09,California,0.95,2611,109484.89999999995,319,247,17332,76700,94032
2022-10-16,California,0.5,2134,63036.5,261,182,16661,76700,93361
2022-10-16,California,0.05,1855,41136.6,220,139,15782,76700,92482
2022-10-16,California,0.95,2608.0499999999993,107273.49999999997,319,247,17534,76700,94234
2022-10-23,California,0.5,2088,61863,256,177,16843,76700,93543
2022-10-23,California,0.05,1792,40443.049999999996,214,135,15956.9,76700,92656.9
2022-10-23,California,0.95,2591.0499999999993,103302.9999999999,318,245,17727.05,76700,94427.05
2022-10-30,California,0.5,2036,60122,250,172,17018.5,76700,93718.5
2022-10-30,California,0.05,1733,39170.65,208,130,16119.95,76700,92819.95
2022-10-30,California,0.95,2577,102052.1,314,243,17917.05,76700,94617.05
2022-11-06,California,0.5,1991,58848.5,244,167,17188,76700,93888
2022-11-06,California,0.05,1674.9499999999998,38124.8,201,126,16284,76700,92984
2022-11-06,California,0.95,2542.0999999999985,99201.94999999991,308,241,18108,76700,94808
2022-11-13,California,0.5,1943.5,56993,238,162,17357,76700,94057
2022-11-13,California,0.05,1627,36789.85,195,121,16442.95,76700,93142.95
2022-11-13,California,0.95,2505.0499999999993,97544.84999999999,304,235.04999999999927,18289.05,76700,94989.05
2022-11-20,California,0.5,1899,55693.5,232,158,17519,76700,94219
2022-11-20,California,0.05,1583,35751.4,189,118,16586.95,76700,93286.95
2022-11-20,California,0.95,2464.0999999999985,97374.1,296,233,18477,76700,95177
2022-11-27,California,0.5,1857,54348.5,227,154,17678,76700,94378
2022-11-27,California,0.05,1542,35233.799999999996,184,113,16737,76700,93437
2022-11-27,California,0.95,2432.0499999999993,94056.84999999999,291,227,18661,76700,95361
2021-12-19,Alameda,0.5,74,1628,14,6,6,1534,1540
2021-12-19,Alameda,0.05,53,335,8,2,2,1534,1536
2021-12-19,Alameda,0.95,98,4733.149999999998,22,11,11,1534,1545
2021-12-26,Alameda,0.5,109,2828.5,17,6,13,1534,1547
2021-12-26,Alameda,0.05,83,551.9499999999999,11,3,7,1534,1541
2021-12-26,Alameda,0.95,140,8155.149999999998,26,12,20,1534,1554
2022-01-02,Alameda,0.5,185,5536,26,10,22,1534,1556
2022-01-02,Alameda,0.05,150,1121.9499999999998,18,5,14,1534,1548
2022-01-02,Alameda,0.95,229,15873.949999999986,37,16,32,1534,1566
2022-01-09,Alameda,0.5,306,9081.5,43,16,39,1534,1573
2022-01-09,Alameda,0.05,253,1815,31,9,28,1534,1562
2022-01-09,Alameda,0.95,365,26457.34999999995,57,25,52,1534,1586
2022-01-16,Alameda,0.5,418,11283,60,26,66,1534,1600
2022-01-16,Alameda,0.05,349,2308.75,45,16,50,1534,1584
2022-01-16,Alameda,0.95,497,32928.099999999984,78,38,83,1534,1617
2022-01-23,Alameda,0.5,465.5,10858.5,71,34,100,1534,1634
2022-01-23,Alameda,0.05,389,2208.95,53,22,79,1534,1613
2022-01-23,Alameda,0.95,551,32174.099999999984,91,48,123,1534,1657
2022-01-30,Alameda,0.5,430,8559,70,37,137,1534,1671
2022-01-30,Alameda,0.05,360,1709.7999999999997,53,23,111,1534,1645
2022-01-30,Alameda,0.95,509.0499999999993,24801.29999999998,89.04999999999927,51,166,1534,1700
2022-02-06,Alameda,0.5,348,6033.5,60,33,171,1534,1705
2022-02-06,Alameda,0.05,289,1251.95,44,21,141,1534,1675
2022-02-06,Alameda,0.95,414,17582,77,47,203,1534,1737
2022-02-13,Alameda,0.5,259,4070.5,46,27,198,1534,1732
2022-02-13,Alameda,0.05,212.94999999999993,860.9499999999999,34,17,165,1534,1699
2022-02-13,Alameda,0.95,313,11771.249999999996,61,39,233,1534,1767
2022-02-20,Alameda,0.5,187,2919,34,20,219,1534,1753
2022-02-20,Alameda,0.05,150,606,24,12,184,1534,1718
2022-02-20,Alameda,0.95,230,8412.05,47,30,255,1534,1789
2022-02-27,Alameda,0.5,135,2124,25,15,234,1534,1768
2022-02-27,Alameda,0.05,106,437,17,8,198,1534,1732
2022-02-27,Alameda,0.95,169,6195.149999999998,35,23,271,1534,1805
2022-03-06,Alameda,0.5,99,1628,18,11,245,1534,1779
2022-03-06,Alameda,0.05,74,337.94999999999993,11,5,208,1534,1742
2022-03-06,Alameda,0.95,128,4646.049999999999,27,17,283,1534,1817
2022-03-13,Alameda,0.5,75,1293,14,8,252,1534,1786
2022-03-13,Alameda,0.05,53,261.94999999999993,7,3,216,1534,1750
2022-03-13,Alameda,0.95,99,3687.199999999997,21,14,292,1534,1826
2022-03-20,Alameda,0.5,57,1059,10,6,258,1534,1792
2022-03-20,Alameda,0.05,40,216,5,2,221,1534,1755
2022-03-20,Alameda,0.95,78,3085.0499999999993,16,11,298,1534,1832
2022-03-27,Alameda,0.5,48,981,8,5,263,1534,1797
2022-03-27,Alameda,0.05,33,197,4,1,226,1534,1760
2022-03-27,Alameda,0.95,66,2856,14,9,303,1534,1837
2022-04-03,Alameda,0.5,43,1002,7,4,267,1534,1801
2022-04-03,Alameda,0.05,29,197,3,1,229.94999999999993,1534,1763.9499999999998
2022-04-03,Alameda,0.95,60,2864.0499999999993,12,8,307,1534,1841
2022-04-10,Alameda,0.5,42,1091.5,6,3,271,1534,1805
2022-04-10,Alameda,0.05,27,215.94999999999993,2,1,233,1534,1767
2022-04-10,Alameda,0.95,59,3081.149999999998,11,7,312,1534,1846
2022-04-17,Alameda,0.5,43,1170,6,3,274,1534,1808
2022-04-17,Alameda,0.05,28,246,2,1,236,1534,1770
2022-04-17,Alameda,0.95,60,3351.0499999999993,11,7,315,1534,1849
2022-04-24,Alameda,0.5,45,1281.5,6,3,278,1534,1812
2022-04-24,Alameda,0.05,30,250,2,1,240,1534,1774
2022-04-24,Alameda,0.95,63,3730.0499999999993,11,7,319,1534,1853
2022-05-01,Alameda,0.5,51,1517,7,4,282,1534,1816
2022-05-01,Alameda,0.05,35,301,3,1,243,1534,1777
2022-05-01,Alameda,0.95,70,4294.149999999998,12,8,323,1534,1857
2022-05-08,Alameda,0.5,59,1857,8,4,286,1534,1820
2022-05-08,Alameda,0.05,42,374,3,1,247,1534,1781
2022-05-08,Alameda,0.95,79,5257.049999999999,13,8,328,1534,1862
2022-05-15,Alameda,0.5,70,2252.5,9,5,291,1534,1825
2022-05-15,Alameda,0.05,51,469,4,2,252,1534,1786
2022-05-15,Alameda,0.95,92,6356.0999999999985,14,9,333,1534,1867
2022-05-22,Alameda,0.5,82,2644,10,6,297,1534,1831
2022-05-22,Alameda,0.05,61,542,5,2,258,1534,1792
2022-05-22,Alameda,0.95,108,7582.599999999991,17,11,340,1534,1874
2022-05-29,Alameda,0.5,97,3023,12,7,304,1534,1838
2022-05-29,Alameda,0.05,72,611.9499999999999,6,3,264,1534,1798
2022-05-29,Alameda,0.95,124,8766.099999999999,19,12,347,1534,1881
2022-06-05,Alameda,0.5,111,3472.5,14,8,312,1534,1846
2022-06-05,Alameda,0.05,85,723,8,3,272,1534,1806
2022-06-05,Alameda,0.95,140,10162.249999999996,21,14,356,1534,1890
2022-06-12,Alameda,0.5,122,3802.5,15,9,321,1534,1855
2022-06-12,Alameda,0.05,94,734.9499999999999,9,4,280,1534,1814
2022-06-12,Alameda,0.95,153,10631,23,15,365,1534,1899
2022-06-19,Alameda,0.5,127,3874,16,10,332,1534,1866
2022-06-19,Alameda,0.05,98,784.9499999999999,9,5,290,1534,1824
2022-06-19,Alameda,0.95,160,10982.349999999995,24,16,376,1534,1910
2022-06-26,Alameda,0.5,134,4029.5,17,10,343,1534,1877
2022-06-26,Alameda,0.05,104,856.9499999999999,10,5,299,1534,1833
2022-06-26,Alameda,0.95,167,11632.05,25,17,388,1534,1922
2022-07-03,Alameda,0.5,141,4179.5,18,11,354,1534,1888
2022-07-03,Alameda,0.05,110,873.9499999999999,11,5,310,1534,1844
2022-07-03,Alameda,0.95,174,11865.64999999999,26,18,400,1534,1934
2022-07-10,Alameda,0.5,146,4388.5,18,11,365,1534,1899
2022-07-10,Alameda,0.05,115,936.8999999999999,11,6,320,1534,1854
2022-07-10,Alameda,0.95,181,12572.69999999999,27,18,412,1534,1946
2022-07-17,Alameda,0.5,154,4749,19,12,377,1534,1911
2022-07-17,Alameda,0.05,122,985.7999999999997,12,6,332,1534,1866
2022-07-17,Alameda,0.95,191,13562.099999999999,28,19,426,1534,1960
2022-07-24,Alameda,0.5,162,4784.5,20,12,390,1534,1924
2022-07-24,Alameda,0.05,129,965,13,6,343,1534,1877
2022-07-24,Alameda,0.95,199,13583.249999999996,29,20,440,1534,1974
2022-07-31,Alameda,0.5,161,4697,20,13,403,1534,1937
2022-07-31,Alameda,0.05,128,911,13,7,355,1534,1889
2022-07-31,Alameda,0.95,199,13362.149999999998,29,21,454,1534,1988
2022-08-07,Alameda,0.5,154,4369,20,13,416,1534,1950
2022-08-07,Alameda,0.05,121,872,12,7,367,1534,1901
2022-08-07,Alameda,0.95,190.04999999999927,12361.249999999996,28.049999999999272,20,468,1534,2002
2022-08-14,Alameda,0.5,144,3977.5,18,12,428,1534,1962
2022-08-14,Alameda,0.05,113,818.8999999999999,11,6,378,1534,1912
2022-08-14,Alameda,0.95,180,11458,27,19,481,1534,2015
2022-08-21,Alameda,0.5,135,3739.5,17,11,440,1534,1974
2022-08-21,Alameda,0.05,105,776.9499999999999,10,6,389,1534,1923
2022-08-21,Alameda,0.95,169,10807.149999999998,26,18,494,1534,2028
2022-08-28,Alameda,0.5,125,3405,16,11,451,1534,1985
2022-08-28,Alameda,0.05,95,718,9,5,399,1534,1933
2022-08-28,Alameda,0.95,158,10086.449999999993,24,17,505,1534,2039
2022-09-04,Alameda,0.5,112,3014,14,10,461,1534,1995
2022-09-04,Alameda,0.05,83,603.9499999999999,8,5,408,1534,1942
2022-09-04,Alameda,0.95,145,8939.599999999991,22,16,516,1534,2050
2022-09-11,Alameda,0.5,100,2683.5,13,9,470,1534,2004
2022-09-11,Alameda,0.05,70,523.9499999999999,7,4,416,1534,1950
2022-09-11,Alameda,0.95,134,7901,20,15,526,1534,2060
2022-09-18,Alameda,0.5,88,2416.5,11,8,478,1534,2012
2022-09-18,Alameda,0.05,59,468.8499999999998,6,3,424,1534,1958
2022-09-18,Alameda,0.95,130,7299.0999999999985,19,14,534,1534,2068
2022-09-25,Alameda,0.5,79,2068,10,7,485,1534,2019
2022-09-25,Alameda,0.05,49,413,5,3,431,1534,1965
2022-09-25,Alameda,0.95,126,6693.199999999997,18,13,541.0499999999993,1534,2075.0499999999993
2022-10-02,Alameda,0.5,71,1941,9,6,492,1534,2026
2022-10-02,Alameda,0.05,39,372.94999999999993,4,2,437,1534,1971
2022-10-02,Alameda,0.95,124.04999999999927,6492.399999999994,17,12,549,1534,2083
2022-10-09,Alameda,0.5,63,1738,8,5,497,1534,2031
2022-10-09,Alameda,0.05,33,327.94999999999993,3,2,442,1534,1976
2022-10-09,Alameda,0.95,124,5862.299999999996,17,12,555,1534,2089
2022-10-16,Alameda,0.5,57,1608,7,5,502,1534,2036
2022-10-16,Alameda,0.05,27,296.94999999999993,2,1,447,1534,1981
2022-10-16,Alameda,0.95,124,5872.299999999996,17,11,561,1534,2095
2022-10-23,Alameda,0.5,53,1434,7,4,507,1534,2041
2022-10-23,Alameda,0.05,23,245.94999999999993,2,1,450,1534,1984
2022-10-23,Alameda,0.95,123,5687.149999999998,17,11,567,1534,2101
2022-10-30,Alameda,0.5,48,1328,6,4,512,1534,2046
2022-10-30,Alameda,0.05,19,211,2,1,454,1534,1988
2022-10-30,Alameda,0.95,123,5319.249999999996,17,11,573,1534,2107
2022-11-06,Alameda,0.5,44,1225,6,4,516,1534,2050
2022-11-06,Alameda,0.05,15,195,1,0,457.94999999999993,1534,1991.9499999999998
2022-11-06,Alameda,0.95,122,5379.599999999991,16,11,578,1534,2112
2022-11-13,Alameda,0.5,40,1129,5,3,520,1534,2054
2022-11-13,Alameda,0.05,13,166.94999999999993,1,0,460,1534,1994
2022-11-13,Alameda,0.95,122,5214.199999999997,16,11,584.0499999999993,1534,2118.0499999999993
2022-11-20,Alameda,0.5,37,1051,5,3,524,1534,2058
2022-11-20,Alameda,0.05,11,156,1,0,463,1534,1997
2022-11-20,Alameda,0.95,122.04999999999927,5169.0999999999985,16,10,591,1534,2125
2022-11-27,Alameda,0.5,35,974,4,3,528,1534,2062
2022-11-27,Alameda,0.05,10,138,1,0,465,1534,1999
2022-11-27,Alameda,0.95,122,5093.299999999996,16,10,597,1534,2131
2021-12-19,Amador,0.5,5,54,2,0,0,69,69
2021-12-19,Amador,0.05,0,36,0,0,0,69,69
2021-12-19,Amador,0.95,13,78,5,3,3,69,72
2021-12-26,Amador,0.5,5,90,1,0,1,69,70
2021-12-26,Amador,0.05,1,64,0,0,0,69,69
2021-12-26,Amador,0.95,14,122,4,2,3,69,72
2022-01-02,Amador,0.5,8,172,1,0,1,69,70
2022-01-02,Amador,0.05,2,128,0,0,0,69,69
2022-01-02,Amador,0.95,19,220.04999999999927,4,2,4,69,73
2022-01-09,Amador,0.5,15,343,3,0,2,69,71
2022-01-09,Amador,0.05,5,265,0,0,0,69,69
2022-01-09,Amador,0.95,32,427,6,2,5,69,74
2022-01-16,Amador,0.5,23,490,4,1,3,69,72
2022-01-16,Amador,0.05,9,385.94999999999993,1,0,0,69,69
2022-01-16,Amador,0.95,48,600,9,4,7,69,76
2022-01-23,Amador,0.5,29,522,6,1,5,69,74
2022-01-23,Amador,0.05,11,412,2,0,1,69,70
2022-01-23,Amador,0.95,57,639,11,5,10,69,79
2022-01-30,Amador,0.5,26,363,6,2,7,69,76
2022-01-30,Amador,0.05,10,286,2,0,2,69,71
2022-01-30,Amador,0.95,52,454,12,6,14,69,83
2022-02-06,Amador,0.5,19,217,5,1,9,69,78
2022-02-06,Amador,0.05,7,165,2,0,3,69,72
2022-02-06,Amador,0.95,40,278,10,5,16,69,85
2022-02-13,Amador,0.5,13,130,4,1,10,69,79
2022-02-13,Amador,0.05,4,97,1,0,4,69,73
2022-02-13,Amador,0.95,27,172,8,4,18,69,87
2022-02-20,Amador,0.5,8,90,2,1,11,69,80
2022-02-20,Amador,0.05,1,64,0,0,5,69,74
2022-02-20,Amador,0.95,19,120,6,3,19,69,88
2022-02-27,Amador,0.5,5,70,1,0,12,69,81
2022-02-27,Amador,0.05,1,49,0,0,5,69,74
2022-02-27,Amador,0.95,13,95,4,2,20,69,89
2022-03-06,Amador,0.5,3,55,1,0,12,69,81
2022-03-06,Amador,0.05,0,37,0,0,5,69,74
2022-03-06,Amador,0.95,10,76,3,2,21,69,90
2022-03-13,Amador,0.5,3,37,1,0,12,69,81
2022-03-13,Amador,0.05,0,22,0,0,6,69,75
2022-03-13,Amador,0.95,7,53,2,1,21,69,90
2022-03-20,Amador,0.5,1,23,0,0,13,69,82
2022-03-20,Amador,0.05,0,14,0,0,6,69,75
2022-03-20,Amador,0.95,5,36,2,1,22,69,91
2022-03-27,Amador,0.5,0,14,0,0,13,69,82
2022-03-27,Amador,0.05,0,8,0,0,6,69,75
2022-03-27,Amador,0.95,3,22,1,1,22,69,91
2022-04-03,Amador,0.5,0,10,0,0,13,69,82
2022-04-03,Amador,0.05,0,5,0,0,6,69,75
2022-04-03,Amador,0.95,3,17,1,1,22,69,91
2022-04-10,Amador,0.5,0,10,0,0,13,69,82
2022-04-10,Amador,0.05,0,5,0,0,6,69,75
2022-04-10,Amador,0.95,3,17,1,1,22,69,91
2022-04-17,Amador,0.5,0,12,0,0,13,69,82
2022-04-17,Amador,0.05,0,6,0,0,6,69,75
2022-04-17,Amador,0.95,3,20,1,0,22,69,91
2022-04-24,Amador,0.5,0,16,0,0,13,69,82
2022-04-24,Amador,0.05,0,9,0,0,6,69,75
2022-04-24,Amador,0.95,3,25,1,0,22,69,91
2022-05-01,Amador,0.5,0,21,0,0,13,69,82
2022-05-01,Amador,0.05,0,12,0,0,6,69,75
2022-05-01,Amador,0.95,3,31,1,1,22,69,91
2022-05-08,Amador,0.5,0,27,0,0,13,69,82
2022-05-08,Amador,0.05,0,17,0,0,6,69,75
2022-05-08,Amador,0.95,3,39,1,1,22,69,91
2022-05-15,Amador,0.5,1,44,0,0,13,69,82
2022-05-15,Amador,0.05,0,31,0,0,6,69,75
2022-05-15,Amador,0.95,4,60,1,1,22,69,91
2022-05-22,Amador,0.5,1,70,0,0,13,69,82
2022-05-22,Amador,0.05,0,51,0,0,6,69,75
2022-05-22,Amador,0.95,5,90,1,1,23,69,92
2022-05-29,Amador,0.5,2,91,0,0,14,69,83
2022-05-29,Amador,0.05,0,68,0,0,6,69,75
2022-05-29,Amador,0.95,7,116,2,1,23,69,92
2022-06-05,Amador,0.5,2,106,0,0,14,69,83
2022-06-05,Amador,0.05,0,80,0,0,7,69,76
2022-06-05,Amador,0.95,8,135,2,1,23,69,92
2022-06-12,Amador,0.5,3,114,0,0,14,69,83
2022-06-12,Amador,0.05,0,87,0,0,7,69,76
2022-06-12,Amador,0.95,9,142,2,2,24,69,93
2022-06-19,Amador,0.5,2,98,0,0,14,69,83
2022-06-19,Amador,0.05,0,74,0,0,7,69,76
2022-06-19,Amador,0.95,8,125,2,2,24,69,93
2022-06-26,Amador,0.5,2,95,0,0,15,69,84
2022-06-26,Amador,0.05,0,71,0,0,7,69,76
2022-06-26,Amador,0.95,8,121,2,1,24,69,93
2022-07-03,Amador,0.5,2,94,0,0,15,69,84
2022-07-03,Amador,0.05,0,71,0,0,8,69,77
2022-07-03,Amador,0.95,8,121,2,1,25,69,94
2022-07-10,Amador,0.5,2,92,0,0,15,69,84
2022-07-10,Amador,0.05,0,69,0,0,8,69,77
2022-07-10,Amador,0.95,8,120,2,1,25,69,94
2022-07-17,Amador,0.5,2,88,0,0,16,69,85
2022-07-17,Amador,0.05,0,66,0,0,8,69,77
2022-07-17,Amador,0.95,8,115,2,1,25,69,94
2022-07-24,Amador,0.5,2,78,0,0,16,69,85
2022-07-24,Amador,0.05,0,58,0,0,8,69,77
2022-07-24,Amador,0.95,7,102,2,1,26,69,95
2022-07-31,Amador,0.5,2,66,0,0,16,69,85
2022-07-31,Amador,0.05,0,48,0,0,8,69,77
