date,county,prop_omicron_cases
2022-04-03,Riverside,0.9917681520124085
2022-04-03,Sacramento,0.9930793319231476
2022-04-03,San Benito,0.9945567652886683
2022-04-03,San Bernardino,0.9953036287598094
2022-04-03,San Diego,0.9979528280416932
2022-04-03,San Francisco,0.9923054984621059
2022-04-03,San Joaquin,0.9935311474195806
2022-04-03,San Luis Obispo,0.9939440070120447
2022-04-03,San Mateo,0.9961815240488698
2022-04-03,Santa Barbara,0.9925860380998421
2022-04-03,Santa Clara,0.9979470302565693
2022-04-03,Santa Cruz,0.9947853256054291
2022-04-03,Shasta,0.9918385355294488
2022-04-03,Sierra,0.9901632267071014
2022-04-03,Siskiyou,0.9937138225403865
2022-04-03,Solano,0.9928450815356604
2022-04-03,Sonoma,0.993854421564699
2022-04-03,Stanislaus,0.9879588934512802
2022-04-03,Sutter,0.9916176934168848
2022-04-03,Tehama,0.9860133146641812
2022-04-03,Trinity,0.9871914384722278
2022-04-03,Tulare,0.9872474678235295
2022-04-03,Tuolumne,0.9901257535465139
2022-04-03,Ventura,0.9956506735937718
2022-04-03,Yolo,0.9947625886099555
2022-04-03,Yuba,0.9925872485207505
2022-04-04,Alameda,0.9952934990849779
2022-04-04,Alpine,0.9923676800861008
2022-04-04,Amador,0.9887365081737698
2022-04-04,Butte,0.995922745997004
2022-04-04,Calaveras,0.9930472595018575
2022-04-04,Colusa,0.9913735281262647
2022-04-04,Contra Costa,0.9930599816975425
2022-04-04,Del Norte,0.9924925033451886
2022-04-04,El Dorado,0.9925325454778597
2022-04-04,Fresno,0.9908064528361352
2022-04-04,Glenn,0.9926307049009613
2022-04-04,Humboldt,0.9927620395695169
2022-04-04,Imperial,0.991886749778947
2022-04-04,Inyo,0.994306019507145
2022-04-04,Kern,0.9926419877035831
2022-04-04,Kings,0.9902235273786756
2022-04-04,Lake,0.9899320508501899
2022-04-04,Lassen,0.9940388287128238
2022-04-04,Los Angeles,0.9984926202042557
2022-04-04,Madera,0.9903031489249472
2022-04-04,Marin,0.9942626998472225
2022-04-04,Mariposa,0.9894239648543987
2022-04-04,Mendocino,0.9851746107465262
2022-04-04,Merced,0.9919567274958334
2022-04-04,Mono,0.9881890933141998
2022-04-04,Monterey,0.9931919893787631
2022-04-04,Napa,0.9928585304354708
2022-04-04,Nevada,0.9906153278547428
2022-04-04,Orange,0.9950669166676107
2022-04-04,Placer,0.9914451653293042
2022-04-04,Plumas,0.9913409281035668
2022-04-04,Riverside,0.9921959230989135
2022-04-04,Sacramento,0.9934394243293044
2022-04-04,San Benito,0.994840366214076
2022-04-04,San Bernardino,0.9955484971622013
2022-04-04,San Diego,0.9980598354272417
2022-04-04,San Francisco,0.9927055390601159
2022-04-04,San Joaquin,0.9938678716361281
2022-04-04,San Luis Obispo,0.9942593660822387
2022-04-04,San Mateo,0.9963807864453259
2022-04-04,Santa Barbara,0.9929716117113604
2022-04-04,Santa Clara,0.9980543426777723
2022-04-04,Santa Cruz,0.9950570820924298
2022-04-04,Shasta,0.9922626356877331
2022-04-04,Sierra,0.9906722444257183
2022-04-04,Siskiyou,0.994040828902388
2022-04-04,Solano,0.9932172619475512
2022-04-04,Sonoma,0.994174413815544
2022-04-04,Stanislaus,0.9885823337272299
2022-04-04,Sutter,0.9920531539369102
2022-04-04,Tehama,0.9867359085438313
2022-04-04,Trinity,0.9878533379911864
2022-04-04,Tulare,0.9879073053666905
2022-04-04,Tuolumne,0.9906379768226125
2022-04-04,Ventura,0.9958775265499062
2022-04-04,Yolo,0.9950355104255669
2022-04-04,Yuba,0.9929726723638951
2022-04-05,Alameda,0.9955389008738504
2022-04-05,Alpine,0.9927636951617863
2022-04-05,Amador,0.9893199665387953
2022-04-05,Butte,0.996135463042824
2022-04-05,Calaveras,0.9934089349926171
2022-04-05,Colusa,0.9918211759503608
2022-04-05,Contra Costa,0.9934210696389107
2022-04-05,Del Norte,0.9928826429987266
2022-04-05,El Dorado,0.9929208304574245
2022-04-05,Fresno,0.9912837811114305
2022-04-05,Glenn,0.993013803942628
2022-04-05,Humboldt,0.9931384927008656
2022-04-05,Imperial,0.99230837734333
2022-04-05,Inyo,0.9946025275376997
2022-04-05,Kern,0.9930246772086725
2022-04-05,Kings,0.9907308179717517
2022-04-05,Lake,0.9904541617889052
2022-04-05,Lassen,0.9943490477685505
2022-04-05,Los Angeles,0.9985714522017961
2022-04-05,Madera,0.990806330619361
2022-04-05,Marin,0.9945615230952441
2022-04-05,Mariposa,0.9899719448226184
2022-04-05,Mendocino,0.98594002409997
2022-04-05,Merced,0.99237476408984
2022-04-05,Mono,0.9888001247787008
2022-04-05,Monterey,0.9935462464256684
2022-04-05,Napa,0.9932299837965985
2022-04-05,Nevada,0.9911024178142717
2022-04-05,Orange,0.9953240710002377
2022-04-05,Placer,0.9918895601439558
2022-04-05,Plumas,0.9917897715566331
2022-04-05,Riverside,0.9926016296816628
2022-04-05,Sacramento,0.9937808970294675
2022-04-05,San Benito,0.9951092639630673
2022-04-05,San Bernardino,0.9957806515814994
2022-04-05,San Diego,0.998161259561562
2022-04-05,San Francisco,0.9930849261286423
2022-04-05,San Joaquin,0.9941871702754177
2022-04-05,San Luis Obispo,0.9945583924782149
2022-04-05,San Mateo,0.9965696859840139
2022-04-05,Santa Barbara,0.9933372670806049
2022-04-05,Santa Clara,0.9981560557368818
2022-04-05,Santa Cruz,0.9953147427870034
2022-04-05,Shasta,0.9926648634003787
2022-04-05,Sierra,0.9911552204570271
2022-04-05,Siskiyou,0.9943509328138491
2022-04-05,Solano,0.9935702076543976
2022-04-05,Sonoma,0.9944778366240498
2022-04-05,Stanislaus,0.9891738484090682
2022-04-05,Sutter,0.9924661669488168
2022-04-05,Tehama,0.9874216573759043
2022-04-05,Trinity,0.9884814689573753
2022-04-05,Tulare,0.988533397977191
2022-04-05,Tuolumne,0.9911238707264546
2022-04-05,Ventura,0.9960925931588247
2022-04-05,Yolo,0.9952942779112132
2022-04-05,Yuba,0.9933381942035234
2022-04-06,Alameda,0.9957715608760136
2022-04-06,Alpine,0.9931393447381279
2022-04-06,Amador,0.9898735197971587
2022-04-06,Butte,0.996337122928011
2022-04-06,Calaveras,0.9937519183895019
2022-04-06,Colusa,0.9922457971744442
2022-04-06,Contra Costa,0.9937634873839212
2022-04-06,Del Norte,0.9932526589503672
2022-04-06,El Dorado,0.9932890636206209
2022-04-06,Fresno,0.9917365321538875
2022-04-06,Glenn,0.9933771275831722
2022-04-06,Humboldt,0.9934954946055001
2022-04-06,Imperial,0.9927082554843646
2022-04-06,Inyo,0.99488367993155
2022-04-06,Kern,0.9933875950415922
2022-04-06,Kings,0.9912120190359678
2022-04-06,Lake,0.9909494513249505
2022-04-06,Lassen,0.9946432197432068
2022-04-06,Los Angeles,0.9986461668550448
2022-04-06,Madera,0.9912836317425111
2022-04-06,Marin,0.9948448637256458
2022-04-06,Mariposa,0.9904918211079028
2022-04-06,Mendocino,0.9866664622967788
2022-04-06,Merced,0.9927712319870327
2022-04-06,Mono,0.9893799109607117
2022-04-06,Monterey,0.9938821825366628
2022-04-06,Napa,0.9935822431081212
2022-04-06,Nevada,0.9915644431432137
2022-04-06,Orange,0.9955678793259862
2022-04-06,Placer,0.9923110492828948
2022-04-06,Plumas,0.9922155796210849
2022-04-06,Riverside,0.9929863930925527
2022-04-06,Sacramento,0.9941047009515329
2022-04-06,San Benito,0.9953642133749906
2022-04-06,San Bernardino,0.996000746683567
2022-04-06,San Diego,0.9982573907123701
2022-04-06,San Francisco,0.9934447112488034
2022-04-06,San Joaquin,0.9944899347187461
2022-04-06,San Luis Obispo,0.99484192297064
2022-04-06,San Mateo,0.9967487579674258
2022-04-06,Santa Barbara,0.993684019509714
2022-04-06,Santa Clara,0.9982524605586683
2022-04-06,Santa Cruz,0.9955590320355351
2022-04-06,Shasta,0.9930463298975555
2022-04-06,Sierra,0.9916134572607471
2022-04-06,Siskiyou,0.9946449969132719
2022-04-06,Solano,0.993904899981191
2022-04-06,Sonoma,0.9947655385704104
